donor_description,height,weight,eye_color,hair_color,skin_tone,education_level,education_field,ethnic_background,religion,occupation,interests_hobbies,source,generation_timestamp
"In general, coding cutie. has been fascinated by robotics and computers since childhood, leading him to pursue a bs in computer science. with wavy dark hair, this hardinvolved guy is a full-time student who also works in the evening. despite his busy schedule, he doesn’t get stressed easily, and goes with the flow. he weightlifts eespecially day, and cherishes going to the gym to catch up with friends. lifting aside, his list of athletic achievements includes varsity volleyball, soccer, and even a full marathon!",5'10 (178cm),177 lbs (80kg),Brown,Black,,Bachelor,"Biological & Biomedical Sciences, Dentistry, Sociology",Middle Eastern or Arabic,,,,synthetic,1731175358.891825
"Coding Cutie. has been fascinated by robotics and computers since childhood, leading him to pursue a BS in computer science. With wavy dark hair, this hardfocused guy is a full-time student who also works in the evening. Despite his busy schedule, he doesn’t get stressed easily, and goes with the flow. He weightlifts eremarkably day, and treasures going to the gym to catch up with friends. Lifting aside, his list of athletic achievements includes varsity volleyball, soccer, and even a full marathon!",5'10 (178cm),177 lbs (80kg),Brown,Black,,Bachelor,"Computer Info Systems, Computer Science",Middle Eastern or Arabic,,,,synthetic,1731175358.892284
"As a person, persian dream. watch out, aladdin, doesn't need a magic lamp to fulfill his dreams. multilingual and with a post-graduate education in science, he's perfectly positioned to succeed anywhere in the world, which he takes pleasure in to explore. he's 5'7""/173 lbs with brown eyes and curly brown hair, and plans to balance his professional career with a strong family life. with curiosity and compassion as his life guides, he seems bound to succeed.. arian moayad javad nekounam","5'11""",171,Brown,Dark Brown,,Postgraduate,"Bio-Psychology, Neuroscience",Middle Eastern or Arabic,,,,synthetic,1731175358.892662
"By nature, 6'2"" music maven. music makes the world go round for. doe-eyed and 6’2”, this bilingual student is at present pursuing a career on an associate’s degree in real estate. his true passion, however, is in his work as a music producer and event organizer. this donor does it all: music writing, sound design, video production, performing – even animation for on-stage visuals. although he gets plenty of physical activity from his high-energy performances, he still runs or lifts most days of the week.","5'11""",142 lbs (64kg),Black,Dark Brown,,Postgraduate,"Construction Project Management, Marketing, Music, Real Estate",Middle Eastern or Arabic,Spiritual,,,synthetic,1731175358.8932
"In general, a helping hand. moved to the us from iran in his mid-twenties with a minimal knowledge of english and a dream—he wanted to get a great education in healthcare. this motivated and intelligent hard-worker has done just that. he has completed his bachelor’s degree in kinesiology and is looking forward to receiving a physical therapy or healthcare management degree in graduate school. this kind and comcommitted family-man is close with almost enotably member of his family, and often talks to his grandmother on the phone for hours at a time. he adores to spend time with his friends and help anyone (or anything) in need—he received an associate’s degree in veterinary science.. jeff goldblum (young) mark ruffalo",5'10 (178cm),181 lbs (82kg),Brown,Black,,Master,"Health Management, Kinesiology, Veterinary Medicine",Middle Eastern or Arabic,,,,synthetic,1731175358.893795
"Primarily, gold-hearted dentist. 's striking features—big, beautiful brown eyes, full lashes, cleft chin, and amazing mustache—are outshined by his most remarkable trait: a heart of gold. guided by his father's lessons on kindness, he's woven this virtue into enotably aspect of his life and career. a childhood fascination with dentistry led to a summa cum laude b.s. in biology, followed by a d.d.s. today, this dedicated, multilingual (english/farsi/spanish) dentist cares for the underserved at a public health clinic.",5'10 (178cm),163 lbs (74kg),Brown,Dark Brown,,Postgraduate,"Biological & Biomedical Sciences, Dentistry, Sociology",Middle Eastern or Arabic,,,,synthetic,1731175358.894221
"Coding Cutie. has been fascinated by robotics and computers since childhood, leading him to pursue a BS in computer science. With wavy dark hair, this hardpursuing a career guy is a full-time student who also works in the evening. Despite his busy schedule, he doesn’t get stressed easily, and goes with the flow. He weightlifts eparticularly day, and cherishes going to the gym to catch up with friends. Lifting aside, his list of athletic achievements includes varsity volleyball, soccer, and even a full marathon!",5'10 (178cm),163 lbs (74kg),Brown,Black,,Bachelor,"Biological & Biomedical Sciences, Dentistry, Sociology",Middle Eastern or Arabic,,,,synthetic,1731175358.894664
"6'2"" Music Maven. Music makes the world go round for. Doe-eyed and 6’2”, this bilingual student is now employed on an associate’s degree in real estate. His true passion, however, is in his work as a music producer and event organizer. This donor does it all: music writing, sound design, video production, performing – even animation for on-stage visuals. Although he gets plenty of physical activity from his high-energy performances, he still runs or lifts most days of the week.",6'2 (188cm),177 lbs (80kg),Black,Brown,,Master,"Construction Project Management, Marketing, Music, Real Estate",Middle Eastern or Arabic,Spiritual,,,synthetic,1731175358.895134
"For the most part, for the most part, green-eyed dentist. a impressivehearted dentist who cooks and speaks fluent arabic? sign us up! has emerald green eyes, brown hair and full lips but there's more to love. outside of his orthodontic fellowship, he is driven about crossfit and learning new things in the kitchen. if that wasn't impressive enough, he's genuinely a impressive person with a kind and thoughtful nature. when one of his friends had surgery, he meal-prepped food and cared for his injuries because that’s just the kind of guy he is.",5'9 (175cm),142 lbs (64kg),Brown,Brown,,Master,Economics,Middle Eastern or Arabic,Christian Orthodox,,,synthetic,1731175358.895587
"Primarily, for the most part, green-eyed dentist. a exceptionalhearted dentist who cooks and speaks fluent arabic? sign us up! has emerald green eyes, brown hair and full lips but there's more to love. outside of his orthodontic fellowship, he has a fondness for crossfit and learning new things in the kitchen. if that wasn't impressive enough, he's genuinely a exceptional person with a kind and thoughtful nature. when one of his friends had surgery, he meal-prepped food and cared for his injuries because that’s just the kind of guy he is.",5'10 (178cm),195 lbs (88kg),Brown,Brown,,Master,Dentistry,Middle Eastern or Arabic,Christian Orthodox,,,synthetic,1731175358.896137
"High-Achieving Ph.D.. An award-winning bilingual (English/Farsi) mathematician with a Ph.D. in biomedical engineering (4.0 GPA), comes from a long line of high achievers, including physicians, engineers, judges, dentists, and educators. Open-minded and adventurous, this avid mountain climber treasures cold climates almost as much as he takes pleasure in dancing and singing with friends, playing volleyball and snowboarding, and indulging in his nonagenarian grandmother’s amazing traditional Persian cooking.",5'10 (178cm),181 lbs (82kg),Brown,Dark Brown,,Postgraduate,Biomedical Engineer,Middle Eastern or Arabic,,,,synthetic,1731175358.896545
"For the most part, mindful musician. with his wavy brown hair and thoughtful brown eyes, blends creativity with intellect. he holds a bachelor's in economics and excels in music technology. this multi-instrumentalist speaks english, arabic, and french, and channels his creativity into both music production and competitive sports appreciate hockey and soccer. raised by loving parents, his deep familial connections fuel his empathetic nature, making him the heart of any gathering.",6' (183cm),195 lbs (88kg),Brown,Brown,,Master,"Health Management, Kinesiology, Veterinary Medicine",Middle Eastern or Arabic,,,,synthetic,1731175358.896898
